brand,brand_username,post_url,post_date,likes_count,comments_count,caption,hashtags
Monster,monsterenergy,https://www.instagram.com/monsterenergy/reel/DYPitIIBE8q/,2026-05-12,4715.0,49.0,"The crew putting on a clinic 📈 

#MonsterEnergy #Skateboarding","#MonsterEnergy, #Skateboarding"
Monster,monsterenergy,https://www.instagram.com/druski/reel/DXpP3_6gjCL/,,,,,
Prime,drinkprime,https://www.instagram.com/drinkprime/reel/DNLhoKuNLuV/,2025-08-10,36000.0,337.0,Orange Kream 🍊 Only at @circlekstores 15 calories. 0 sugar. #DRINKPRIME #primefounder,"#DRINKPRIME, #primefounder"
Prime,drinkprime,https://www.instagram.com/ksi/p/DNTYljJsuQT/,2025-08-13,202000.0,3493.0,"Easily the coolest PRIME bottle we’ve done 
#PrimeFounder",#PrimeFounder
Prime,drinkprime,https://www.instagram.com/drinkprime/reel/DPXE6McjKYp/,2025-10-03,47000.0,514.0,"$1,000,000 secured. 🏆💰 #DRINKPRIME",#DRINKPRIME
Prime,drinkprime,https://www.instagram.com/drinkprime/p/DRKkjrLkf7c/,2025-11-17,93000.0,1167.0,"Snowball Slushy ❄️ Winter in a bottle. #DRINKPRIME 

#Electrolytes #ZeroAddedSugar #NoArtificialDyes","#DRINKPRIME, #Electrolytes, #NoArtificialDyes, #ZeroAddedSugar"
Prime,drinkprime,https://www.instagram.com/mdmotivator/reel/DRklkDSAHGd/,2025-11-27,396000.0,9016.0,"“I have 9 girls and 1 boy” 🥹❤️ @mdmotivator @bigsean @drinkprime 

None of this happens without partners who believe in real impact. @drinkprime made it possible for @bigsean and I to pour back into Detroit! ❤️",
Prime,drinkprime,https://www.instagram.com/mdmotivator/reel/DSvTlhyk_-o/,2025-12-26,204000.0,5915.0,"“I pray I can walk again” 🥹❤️ @mdmotivator @fchwpo 

Thank you @drinkprime for bringing real impact to Babson College and blessing Shayla’s beautiful family this holiday season. Be kind and love always ❤️",
Prime,drinkprime,https://www.instagram.com/drinkprime/reel/DTgLhMxktW3/,2026-01-14,156000.0,1860.0,"Our PROTEINLOCK™ process uses advanced filtration to concentrate milk’s natural protein and reduce sugar — creating ultra-filtered milk that’s smooth, delicious, and made to help you hit your protein goals. 

✅ 32g of protein 
✅ 3g of sugar
✅ 150 calories
✅ lactose free
✅ no carrageenan

Available now on @amazon @target @vitaminshoppe",
Prime,drinkprime,https://www.instagram.com/zackdfilms/reel/DTqe-zolcuZ/,2026-01-17,510000.0,6937.0,Why Some Milk Is Better Than Others 🤔 #sponsored #partnership,"#partnership, #sponsored"
