family,month,mentions_12m,videos_12m,soc_share
Tea & botanical,2022-02,30,234,0.136986
Punch & mixed fruit,2022-02,7,234,0.031963
Watermelon,2022-03,15,229,0.070755
Coffee & cream,2022-03,34,229,0.160377
Sour & candy,2022-03,13,229,0.061321
Cola & soda,2022-03,9,229,0.042453
Berry,2022-03,27,229,0.127358
Tropical,2022-03,20,229,0.09434
Citrus,2022-03,25,229,0.117925
Grape,2022-03,3,229,0.014151
Apple & pear,2022-03,19,229,0.089623
Peach & stone fruit,2022-03,4,229,0.018868
Tea & botanical,2022-03,32,229,0.150943
Punch & mixed fruit,2022-03,11,229,0.051887
Watermelon,2022-04,16,224,0.082051
Coffee & cream,2022-04,32,224,0.164103
Sour & candy,2022-04,11,224,0.05641
Cola & soda,2022-04,9,224,0.046154
Berry,2022-04,25,224,0.128205
Tropical,2022-04,14,224,0.071795
Citrus,2022-04,23,224,0.117949
Grape,2022-04,3,224,0.015385
Apple & pear,2022-04,17,224,0.087179
Peach & stone fruit,2022-04,5,224,0.025641
Tea & botanical,2022-04,28,224,0.14359
Punch & mixed fruit,2022-04,12,224,0.061538
Watermelon,2022-05,18,228,0.090452
Coffee & cream,2022-05,30,228,0.150754
Sour & candy,2022-05,13,228,0.065327
Cola & soda,2022-05,8,228,0.040201
Berry,2022-05,30,228,0.150754
Tropical,2022-05,13,228,0.065327
Citrus,2022-05,26,228,0.130653
Grape,2022-05,3,228,0.015075
Apple & pear,2022-05,19,228,0.095477
Peach & stone fruit,2022-05,5,228,0.025126
Tea & botanical,2022-05,24,228,0.120603
Punch & mixed fruit,2022-05,10,228,0.050251
Watermelon,2022-06,19,226,0.092233
Coffee & cream,2022-06,32,226,0.15534
Sour & candy,2022-06,15,226,0.072816
Cola & soda,2022-06,9,226,0.043689
Berry,2022-06,30,226,0.145631
Tropical,2022-06,13,226,0.063107
Citrus,2022-06,25,226,0.121359
Grape,2022-06,3,226,0.014563
Apple & pear,2022-06,17,226,0.082524
Peach & stone fruit,2022-06,5,226,0.024272
Tea & botanical,2022-06,29,226,0.140777
Punch & mixed fruit,2022-06,9,226,0.043689
Watermelon,2022-07,18,225,0.090909
Coffee & cream,2022-07,32,225,0.161616
Sour & candy,2022-07,16,225,0.080808
Cola & soda,2022-07,7,225,0.035354
Berry,2022-07,28,225,0.141414
Tropical,2022-07,10,225,0.050505
Citrus,2022-07,23,225,0.116162
Grape,2022-07,4,225,0.020202
Apple & pear,2022-07,17,225,0.085859
Peach & stone fruit,2022-07,5,225,0.025253
Tea & botanical,2022-07,29,225,0.146465
Punch & mixed fruit,2022-07,9,225,0.045455
Watermelon,2022-08,18,226,0.084507
Coffee & cream,2022-08,35,226,0.164319
Sour & candy,2022-08,18,226,0.084507
Cola & soda,2022-08,9,226,0.042254
Berry,2022-08,30,226,0.140845
Tropical,2022-08,11,226,0.051643
Citrus,2022-08,23,226,0.107981
Grape,2022-08,4,226,0.018779
Apple & pear,2022-08,21,226,0.098592
Peach & stone fruit,2022-08,5,226,0.023474
Tea & botanical,2022-08,31,226,0.14554
Punch & mixed fruit,2022-08,8,226,0.037559
Watermelon,2022-09,17,229,0.082524
Coffee & cream,2022-09,33,229,0.160194
Sour & candy,2022-09,17,229,0.082524
Cola & soda,2022-09,8,229,0.038835
Berry,2022-09,32,229,0.15534
Tropical,2022-09,13,229,0.063107
Citrus,2022-09,21,229,0.101942
Grape,2022-09,4,229,0.019417
Apple & pear,2022-09,20,229,0.097087
